x	exp(x)	0,9999999771824299 * EXP(x)	diff	Diff^2
8,8	6634,2440062775	6634,2438549001	0,0001513773	2,29150953449503E-008
8,9	7331,9735391555	7331,9733718577	0,0001672978	0,000000028
9	8103,0839275748	8103,0837426822	0,0001848927	3,41853049502902E-008
9,1	8955,2927034819	8955,2924991439	0,000204338	4,17540260507659E-008
9,2	9897,1290587432	9897,1288329148	0,0002258284	0,000000051
9,3	10938,0192081645	10938,0189585854	0,000249579	6,22896869794921E-008
9,4	12088,3807302162	12088,3804543887	0,0002758275	7,60807959535396E-008
9,5	13359,7268296609	13359,7265248244	0,0003048365	9,29252937724906E-008
9,6	14764,7815655762	14764,7812286798	0,0003368964	1,1349920936269E-007
9,7	16317,6071980143	16317,6068256862	0,0003723281	1,38628248388265E-007
9,8	18033,7449278272	18033,744516341	0,0004114862	1,6932092454931E-007
9,9	19930,3704382288	19930,3699834662	0,0004547626	2,06809043388344E-007
10	22026,4657948051	22026,4652922147	0,0005025904	2,52597135030727E-007
			SUM	1,39349139887422E-006
			AVG	6,93279302922497E-009
